Name,Created,Materials,Reviewed,Type
Chapter 4: Integrations,"September 29, 2025 12:29 AM",../Calculus%20II/Notes/Chapter_4.pdf,No,Lecture
Chapter 2: Derivatives,"September 29, 2025 12:29 AM",../Calculus%20II/Notes/Chapter_2.pdf,Yes,Lecture
Chapter 5: Applications of Integrations,"September 29, 2025 12:29 AM",../Calculus%20II/Notes/Chapter_5.pdf,No,Lecture
Chapter 3: Applications of Derivatives,"September 29, 2025 12:29 AM",../Calculus%20II/Notes/Chapter_3.pdf,No,Lecture
Chapter 1: Limits,"September 29, 2025 12:29 AM",../Calculus%20II/Notes/Chapter_1.pdf,Yes,Lecture
